0	1	10	0	0	11	0	0	0	
1	2	11	0	0	12	10	0	0	
2	3	12	1	0	13	11	0	0	
3	4	13	2	0	14	12	0	0	
4	5	14	3	0	15	13	0	0	
5	6	15	4	0	16	14	0	0	
6	7	16	5	0	17	15	0	0	
7	8	17	6	0	18	16	0	0	
8	9	18	7	0	19	17	0	0	
9	0	19	8	0	0	18	0	0	
10	11	20	0	0	21	0	0	1	
11	12	21	10	1	22	20	0	2	
12	13	22	11	2	23	21	1	3	
13	14	23	12	3	24	22	2	4	
14	15	24	13	4	25	23	3	5	
15	16	25	14	5	26	24	4	6	
16	17	26	15	6	27	25	5	7	
17	18	27	16	7	28	26	6	8	
18	19	28	17	8	29	27	7	9	
19	0	29	18	9	0	28	8	0	
20	21	30	0	10	31	0	0	11	
21	22	31	20	11	32	30	10	12	
22	23	32	21	12	33	31	11	13	
23	24	33	22	13	34	32	12	14	
24	25	34	23	14	35	33	13	15	
25	26	35	24	15	36	34	14	16	
26	27	36	25	16	37	35	15	17	
27	28	37	26	17	38	36	16	18	
28	29	38	27	18	39	37	17	19	
29	0	39	28	19	0	38	18	0	
30	31	40	0	20	41	0	0	21	
31	32	41	30	21	42	40	20	22	
32	33	42	31	22	43	41	21	23	
33	34	43	32	23	44	42	22	24	
34	35	44	33	24	45	43	23	25	
35	36	45	34	25	46	44	24	26	
36	37	46	35	26	47	45	25	27	
37	38	47	36	27	48	46	26	28	
38	39	48	37	28	49	47	27	29	
39	0	49	38	29	0	48	28	0	
40	41	50	0	30	51	0	0	31	
41	42	51	40	31	52	50	30	32	
42	43	52	41	32	53	51	31	33	
43	44	53	42	33	54	52	32	34	
44	45	54	43	34	55	53	33	35	
45	46	55	44	35	56	54	34	36	
46	47	56	45	36	57	55	35	37	
47	48	57	46	37	58	56	36	38	
48	49	58	47	38	59	57	37	39	
49	0	59	48	39	0	58	38	0	
50	51	60	0	40	61	0	0	41	
51	52	61	50	41	62	60	40	42	
52	53	62	51	42	63	61	41	43	
53	54	63	52	43	64	62	42	44	
54	55	64	53	44	65	63	43	45	
55	56	65	54	45	66	64	44	46	
56	57	66	55	46	67	65	45	47	
57	58	67	56	47	68	66	46	48	
58	59	68	57	48	69	67	47	49	
59	0	69	58	49	0	68	48	0	
60	61	70	0	50	71	0	0	51	
61	62	71	60	51	72	70	50	52	
62	63	72	61	52	73	71	51	53	
63	64	73	62	53	74	72	52	54	
64	65	74	63	54	75	73	53	55	
65	66	75	64	55	76	74	54	56	
66	67	76	65	56	77	75	55	57	
67	68	77	66	57	78	76	56	58	
68	69	78	67	58	79	77	57	59	
69	0	79	68	59	0	78	58	0	
70	71	80	0	60	81	0	0	61	
71	72	81	70	61	82	80	60	62	
72	73	82	71	62	83	81	61	63	
73	74	83	72	63	84	82	62	64	
74	75	84	73	64	85	83	63	65	
75	76	85	74	65	86	84	64	66	
76	77	86	75	66	87	85	65	67	
77	78	87	76	67	88	86	66	68	
78	79	88	77	68	89	87	67	69	
79	0	89	78	69	0	88	68	0	
80	81	90	0	70	91	0	0	71	
81	82	91	80	71	92	90	70	72	
82	83	92	81	72	93	91	71	73	
83	84	93	82	73	94	92	72	74	
84	85	94	83	74	95	93	73	75	
85	86	95	84	75	96	94	74	76	
86	87	96	85	76	97	95	75	77	
87	88	97	86	77	98	96	76	78	
88	89	98	87	78	99	97	77	79	
89	0	99	88	79	0	98	78	0	
90	91	0	0	80	0	0	0	81	
91	92	0	90	81	0	0	80	82	
92	93	0	91	82	0	0	81	83	
93	94	0	92	83	0	0	82	84	
94	95	0	93	84	0	0	83	85	
95	96	0	94	85	0	0	84	86	
96	97	0	95	86	0	0	85	87	
97	98	0	96	87	0	0	86	88	
98	99	0	97	88	0	0	87	89	
99	0	0	98	89	0	0	88	0	
