1.946415	1.001207	1.705918	2.929883	3.001076	2.611085	2.276684	4.923785	3.801179	
2.710978	1.883944	3.237396	3.979843	3.770100	3.908558	3.236046	4.530599	3.810921	
2.868209	2.384580	4.279469	5.074999	4.256991	4.019269	3.752514	3.502064	3.488993	
1.467391	2.388447	4.631736	4.928834	4.394162	3.257943	4.301273	2.839499	3.806347	
2.327109	2.216248	4.242135	4.301403	3.995357	2.947555	3.721559	3.581740	3.842540	
1.644626	1.288762	2.698951	2.714911	3.701926	2.097396	2.435484	4.328271	4.638639	
3.712480	1.899295	2.699173	4.353846	3.180326	3.640541	3.054464	5.775028	3.862932	
4.640070	3.205864	4.668874	5.258291	4.193178	5.638944	4.104025	5.419746	4.244683	
4.139999	3.892285	5.632915	6.414993	5.457414	5.241320	5.135217	4.152432	4.223684	
2.707294	4.504876	5.465586	6.214513	4.994814	4.133698	5.158742	2.901416	4.474099	
3.822700	4.046308	4.976978	5.855733	4.008591	3.269853	4.433640	3.339595	4.136968	
2.831427	2.177181	3.087400	3.515372	3.168378	2.173307	2.707051	3.871266	4.488806	
4.337722	2.617581	3.419011	3.707635	2.952948	3.732078	4.145527	5.153904	4.113093	
5.128701	3.784868	5.505375	4.762094	3.857335	5.857265	4.714001	5.347755	4.432013	
4.284751	4.170959	5.280716	5.661911	5.663024	4.924219	5.485056	4.284242	4.141073	
3.302528	5.082516	5.077087	5.489971	4.708795	4.627791	4.685715	4.240314	3.998804	
4.401670	5.194982	4.829530	4.653134	3.823026	2.958786	4.083635	4.204501	4.344264	
3.259750	2.744648	3.396452	2.687299	2.686161	1.941192	2.367565	4.562777	4.904671	
3.266480	2.509451	3.939384	3.903471	4.169230	3.079811	3.577374	4.582978	4.278845	
3.937202	3.124078	5.572505	4.177845	4.940035	5.166231	4.733603	4.989928	5.281982	
3.316412	3.167931	4.988333	4.360834	5.525373	4.498993	5.621783	5.127520	4.853775	
4.008905	5.057642	4.732529	4.164598	3.780140	4.091393	4.196351	5.276536	5.195841	
5.028970	5.742690	5.008187	4.568285	2.497784	2.248357	2.947873	5.063397	4.596230	
3.984202	3.458336	3.541713	3.427690	2.205546	1.356606	1.526831	4.682984	5.145670	
1.639253	2.303864	3.997928	2.583584	4.731729	2.983134	3.121612	4.336578	3.760952	
2.503749	2.887790	5.873187	3.551532	5.200244	4.383874	5.006124	4.959321	4.104389	
3.090730	2.610055	4.534833	4.512185	4.228483	3.316774	5.786160	4.885805	3.813866	
4.757675	4.308290	5.434615	4.673367	3.147452	4.075478	4.428019	5.237905	3.706902	
5.245926	5.040227	5.201640	4.840238	3.084622	2.808123	3.006761	4.710437	3.840735	
3.858604	3.330088	4.097010	3.780897	3.661952	2.197969	1.692492	4.552368	4.859492	
0.559578	1.353385	2.488429	2.474707	4.755648	2.426834	2.072015	4.677868	4.018626	
1.308326	1.779381	3.412675	2.937727	4.776970	3.276690	3.719483	5.050275	4.065330	
1.668571	1.726186	2.489377	3.347017	3.510006	1.942437	4.067470	5.159260	4.318187	
3.319625	2.980257	3.577875	3.730467	2.735957	2.439813	2.958620	4.944860	4.005272	
3.305572	3.252820	3.483108	4.397452	3.176995	1.791345	1.857522	4.203492	3.971833	
2.639511	2.199678	2.695621	3.771833	3.804727	1.904814	1.224920	3.832517	4.508582	
